1, 0.26, 0.3, 0.1,0.3, 0.3
2, 0.23, 0.4, 0.2,0.25, 0.44
3, 0.17, 0.2, 0,0.2, 0.33
4, 0.275, 0.35, 0.15,0.275, 0.4
5, 0.3, 0.2,0.3,0.4,0.3
6, 0.65, 0.1, 0.3, 0.125, 0.2

11, 0.1, -0.2, 0.25,0.1, 0.25
12, 0.3, -0.7, 0.3,0, 0.32
13, 0.4, -0.2, 0.4,0.3, 0.1
14, 0.3, -0.2, 0.275,0.05, 0.27
15, 0.6, 0, 0.25,0.02, 0.15
16, 0, -0.5, 1,0.02, 0.3

101, 0.3, -1, 0.1,0, 0
102, 1, -3,0.25
103, 0.6, -3,0.1
104, 0.5, -10, 1, 0, 1.5
105, 0.6, -0.2, 0.25, 0, 2
106, 0.8, -0.4, 0.4,0, 1.6

1001, 0, 0, 0, 0,5
1002, 0, 0, 0, 5,3.6
